mrt,lat,long
MARINA BAY,1.2760600679891865,103.85525477148414
SERANGOON INTERCHANGE,1.3503950328682446,103.87265671250174
HOUGANG,1.3711423692236475,103.89248558530215
ANG MO KIO,1.3698855459989538,103.84971340150938
BUANGKOK,1.382793599243241,103.8931388566329
PUNGGOL,1.4052283773836511,103.9024543320662
YIO CHU KANG,1.3818170213749936,103.84472300876917
SERANGOON INTERCHANGE,1.349654374162532,103.87364670580112
CLEMENTI,1.314948919826568,103.76527003438541
CHINESE GARDEN,1.3422097435308662,103.73263494356239
BEDOK,1.3239989295717383,103.9302138034832
THOMSON LINE,1.4357668613872188,103.78796461794427
THOMSON LINE,1.4273094308011578,103.79393575612521
MARINA BAY,1.2749189529444263,103.85525801641829
MARINA BAY,1.2767552142029384,103.85429534750844
HAVELOCK STATION,1.2884886005919507,103.83362176565127
TSL Station,1.2742004594620393,103.86281598385249
TSL Station,1.2800220701664493,103.86850126273342
OUTRAM,1.28117235433808,103.83922572547107
UPPER THOMSON STATION,1.3546240284415636,103.83277056643148
MACPHERSON MRT STATION,1.3260075772119455,103.8893447896398
BRIGHT HILL STATION,1.3629870836351239,103.83285650550057
PAYA LEBAR MRT STATION,1.31810976810409,103.89314987148272
ORCHARD,1.3030077061365852,103.83175317629022
GREAT WORLD,1.294186163452142,103.83312312362149
TAMPINES EAST STATION,1.356211387239116,103.9547685658215
DHOBY GHAUT INTERCHANGE,1.2998641615339712,103.84558225497369
DHOBY GHAUT INTERCHANGE,1.2990419971728016,103.84579437119646
DHOBY GHAUT INTERCHANGE,1.2987472451480087,103.84610320675914
BRAS BASAH,1.296994610477759,103.85066169515852
LITTLE INDIA STATION,1.3070335947089697,103.84980449595278
JALAN BESAR STATION,1.3055428867601417,103.85564882805873
ROCHOR STATION,1.3040842664012986,103.85283758034178
BUKIT PANJANG,1.3786167779880227,103.76214559913383
TELOK AYER STATION,1.282342520972438,103.84832873293433
CHINATOWN,1.2844914263061775,103.84345694206839
TAMPINES STATION,1.3551131686940403,103.94298339682825
